team,form_off_epa,form_def_epa,form_plays,games_used,form_through
ARI,0.028551234554928633,0.12674822044528966,59.2,5,2026-09-13
ATL,-0.03659784040795819,-0.09398105896034967,61.2,5,2026-09-13
BAL,0.2279956406956157,-0.031630800660246386,54.0,5,2026-09-13
BUF,0.15699575937736437,-0.03161500689446315,61.4,5,2026-09-13
CAR,-0.027978377378145264,0.11502521362658391,53.4,5,2026-09-13
CHI,0.1810632080231987,0.041135114115843294,62.0,5,2026-09-13
CIN,0.05769326247319684,-0.041202262969283136,66.2,5,2026-09-13
CLE,-0.22105098947595847,0.026666898238888227,54.0,5,2026-09-13
DAL,0.08985545372094184,0.2745434946452968,63.4,5,2026-09-13
DEN,-0.060103943259514805,-0.06771047645524021,60.2,5,2026-09-14
DET,-0.012333234247356436,0.01631385837228269,67.8,5,2026-09-13
GB,-0.06200427378009134,0.11399331994248704,58.0,5,2026-09-13
HOU,-0.0023422023508330113,-0.01787763101457378,62.8,5,2026-09-13
IND,-0.1309072893079945,0.13393876679566863,57.4,5,2026-09-13
JAX,0.19558261609444175,-0.185649027139016,60.0,5,2026-09-13
KC,-0.18428993995652293,-0.1476118699038318,53.8,5,2026-09-14
LA,0.06178489812649226,0.10369147219904455,68.4,5,2026-09-10
LAC,-0.09429661574570566,-0.05270299807271507,59.6,5,2026-09-13
LV,-0.2393507152394152,-0.07548378531237102,54.8,5,2026-09-13
MIA,-0.11401401555729944,0.19024127435383695,52.8,5,2026-09-13
MIN,-0.0340425236229358,-0.24705032764552887,56.0,5,2026-09-13
NE,0.24106965388432977,-0.022106549611703472,60.2,5,2026-09-09
NO,0.040206785326471,-0.13495546962432492,68.0,5,2026-09-13
NYG,0.07679744748229009,-0.03558219890265184,62.0,5,2026-09-13
NYJ,-0.15982432131473362,0.20903578537671744,60.2,5,2026-09-13
PHI,0.07684325078942775,-0.1242453826837874,59.4,5,2026-09-13
PIT,-0.0027478270015308115,-0.07097764988530382,65.8,5,2026-09-13
SEA,0.014224262175730815,-0.16670374278624328,59.4,5,2026-09-09
SF,0.15105638781528266,0.07240964947879605,61.4,5,2026-09-10
TB,0.003571115354761967,0.08051882737326738,60.4,5,2026-09-13
TEN,-0.07421336692525145,0.11360170688159732,58.2,5,2026-09-13
WAS,0.021748701884552496,0.09816483888381348,55.0,5,2026-09-13
