team_abbr,team_name,team_nick,team_conf,team_division,team_color,team_logo_espn
ARI,Arizona Cardinals,Cardinals,NFC,NFC West,#97233F,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
ATL,Atlanta Falcons,Falcons,NFC,NFC South,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
BAL,Baltimore Ravens,Ravens,AFC,AFC North,#241773,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
BUF,Buffalo Bills,Bills,AFC,AFC East,#00338D,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
CAR,Carolina Panthers,Panthers,NFC,NFC South,#0085CA,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
CHI,Chicago Bears,Bears,NFC,NFC North,#0B162A,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
CIN,Cincinnati Bengals,Bengals,AFC,AFC North,#FB4F14,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
CLE,Cleveland Browns,Browns,AFC,AFC North,#FF3C00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
DAL,Dallas Cowboys,Cowboys,NFC,NFC East,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
DEN,Denver Broncos,Broncos,AFC,AFC West,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
DET,Detroit Lions,Lions,NFC,NFC North,#0076B6,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
GB,Green Bay Packers,Packers,NFC,NFC North,#203731,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
HOU,Houston Texans,Texans,AFC,AFC South,#03202F,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
IND,Indianapolis Colts,Colts,AFC,AFC South,#002C5F,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
JAX,Jacksonville Jaguars,Jaguars,AFC,AFC South,#006778,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
KC,Kansas City Chiefs,Chiefs,AFC,AFC West,#E31837,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
LA,Los Angeles Rams,Rams,NFC,NFC West,#003594,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LAC,Los Angeles Chargers,Chargers,AFC,AFC West,#007BC7,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
LV,Las Vegas Raiders,Raiders,AFC,AFC West,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
MIA,Miami Dolphins,Dolphins,AFC,AFC East,#008E97,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
MIN,Minnesota Vikings,Vikings,NFC,NFC North,#4F2683,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
NE,New England Patriots,Patriots,AFC,AFC East,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NO,New Orleans Saints,Saints,NFC,NFC South,#D3BC8D,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NYG,New York Giants,Giants,NFC,NFC East,#0B2265,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NYJ,New York Jets,Jets,AFC,AFC East,#003F2D,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
PHI,Philadelphia Eagles,Eagles,NFC,NFC East,#004C54,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
PIT,Pittsburgh Steelers,Steelers,AFC,AFC North,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
SEA,Seattle Seahawks,Seahawks,NFC,NFC West,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
SF,San Francisco 49ers,49ers,NFC,NFC West,#AA0000,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC South,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
TEN,Tennessee Titans,Titans,AFC,AFC South,#4495D2,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
WAS,Washington Commanders,Commanders,NFC,NFC East,#5A1414,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
